park_name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
Abraham Lincoln Birthplace NHP,"271,231","239,074","252,245","318,707","256,126","258,023","264,905","280,620","292,825","288,324","309,823","307,669","316,945","302,739","293,710","279,542","268,509","249,344"
Acadia NP,"2,787,366","2,779,666","2,997,972","3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831"
Adams NHP,"34,322","24,974","27,055","25,440","26,162","23,398","24,555","24,693","25,617","21,617","22,595","20,315","26,958","27,400","43,877","41,179","47,312","38,230"
Agate Fossil Beds NM,"8,115","8,330","9,459","9,018","10,097","10,317","10,366","10,187","11,439","11,156","11,459","14,482","13,891","18,785","19,467","18,970","18,719","16,567"
Alibates Flint Quarries NM,"1,922","2,211","2,384","2,398","1,919","2,251","2,200","2,202","2,494","2,140","3,842","3,418","3,812","3,419","3,155","3,392","2,769","3,276"
Allegheny Portage Railroad NHS,"58,225","73,995","65,557","60,069","55,148","59,635","69,523","68,990","93,289","123,622","133,324","131,735","154,816","183,473","189,009","160,394","145,307","139,446"
Amistad NRA,"1,261,846","1,084,689","976,414","1,259,668","1,221,445","1,164,338","1,139,366","1,206,669","1,219,967","1,284,606","1,321,168","1,306,474","1,215,691","1,559,659","1,505,084","1,591,903","1,422,321","1,238,990"
Andersonville NHS,"151,123","126,700","113,697","104,053","110,921","101,029","118,440","129,798","130,114","129,912","136,068","131,406","151,408","143,025","136,567","162,279","156,581","197,394"
Andrew Johnson NHS,"47,674","65,591","74,100","77,578","119,410","84,889","68,607","72,600","77,095","76,566","71,350","71,017","82,076","64,481","41,703","59,538","63,196","59,102"
Aniakchak NM & PRES,,,,,,,,,,,853,967,"1,469","1,638","1,593","1,193",0,
Antietam NB,"319,610","352,780","468,078","410,399","433,122","528,369","585,190","706,720","610,674","135,117","147,007","217,249","263,110","243,707","181,909","237,821","215,914","246,082"
Apostle Islands NL,"75,629","88,467","103,960","125,756","130,913","127,300","117,353","113,621","137,341","140,107","135,016","140,980","141,038","113,106","129,793","147,376","167,909","168,614"
Appomattox Court House NHP,"208,411","218,724","244,968","240,405","246,277","318,027","277,613","323,784","336,075","312,693","377,440","402,947","321,668","311,921","211,557","273,768","223,288","205,938"
Arches NP,"269,840","290,519","326,508","339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016"
Arkansas Post NMEM,"61,507","63,002","53,538","58,349","55,443","58,297","55,113","60,258","60,593","68,623","69,023","78,468","81,388","51,594","51,604","46,655","40,361","47,919"
Arlington House The R.E. Lee MEM,"459,346","484,364","336,593","511,982","514,863","635,748","496,848","481,546","481,121","493,031","439,009","463,467","483,440","459,660","496,526","494,048","559,509","409,143"
Assateague Island NS,"1,674,861","1,967,525","2,019,316","2,019,438","2,150,285","2,024,519","2,304,906","2,452,652","2,648,892","2,418,662","2,074,764","2,050,593","2,087,524","1,868,445","2,002,612","1,958,017","1,928,397","1,910,450"
Aztec Ruins NM,"58,064","56,844","64,902","60,878","61,693","58,394","58,187","62,519","65,459","79,518","86,874","80,037","89,220","93,894","82,764","80,699","72,499","65,955"
Badlands NP,"858,000","952,652","1,175,952","1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,326,475","1,518,396","1,205,297","1,179,458","1,130,459","1,075,569","1,024,705"
Bandelier NM,"161,336","176,410","197,574","210,850","199,775","215,500","238,434","237,977","261,527","249,561","322,273","327,918","345,725","360,204","366,638","430,138","395,677","363,447"
Bent's Old Fort NHS,"94,653","54,529","45,843","44,318","40,173","38,330","42,875","44,770","41,194","41,832","45,512","43,209","47,170","48,609","44,935","44,717","38,338","37,640"
Big Bend NP,"282,941","174,008","167,332","180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","257,378","296,470","294,535","327,907","330,417","295,460","279,454"
Big Cypress NPRES,,,,,,,,,,,"81,157","127,790","159,172","212,682","234,830","294,307","365,463","424,920"
Big Hole NB,"41,186","37,317","43,176","41,128","46,748","37,695","34,603","39,388","32,694","43,351","50,031","43,820","54,065","64,177","62,198","65,671","64,125","50,235"
Big South Fork NRRA,,,,,,,,,,"613,011","730,183","794,539","860,017","752,203","737,947","800,460","892,328","855,882"
Big Thicket NPRES,,,"22,763","43,824","33,355","81,548","77,664","66,669","62,460","71,765","102,174","77,930","64,076","72,269","82,854","127,313","115,466","111,626"
Bighorn Canyon NRA,"297,152","322,728","341,157","391,017","373,150","379,625","456,020","455,228","452,103","441,172","455,401","463,311","481,098","459,660","397,336","410,594","378,180","301,533"
Biscayne NP,"202,938","248,071","305,502","348,219","369,082","340,567","460,921","578,013","607,968","531,036","589,957","573,376","488,134","307,512","19,950","25,147","584,519","338,603"
Black Canyon of the Gunnison NP,"234,286","336,119","266,604","227,428","291,618","253,048","266,012","289,117","285,439","269,073","288,586","275,323","316,336","337,209","319,322","214,194","221,113","200,125"
Blue Ridge PKWY,"11,700,219","13,415,014","13,625,753","14,360,184","15,208,455","15,135,991","17,193,408","17,076,150","18,604,627","20,002,975","16,176,171","16,854,602","16,414,294","17,561,391","17,889,335","16,928,639","17,415,519","17,169,062"
Bluestone NSR,,,,,,,,,,,,,,,"51,848","66,089","63,465","64,651"
Booker T. Washington NM,"25,507","21,575","19,874","20,461","23,007","24,972","19,644","20,859","20,588","20,070","17,571","25,060","20,887","25,983","25,894","26,210","25,704","20,134"
Boston African American NHS,,,,,,,,,,,"102,779","194,531","232,064","341,487","328,256","467,858","358,029","345,739"
Boston NHP,"1,777,391","2,034,110","1,754,142","1,703,122","2,088,259","1,481,339","1,560,527","1,642,367","2,219,983","2,183,824","2,135,152","2,102,943","2,020,563","2,076,084","2,030,197","1,921,510","1,839,498","2,260,565"
