park_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abraham Lincoln Birthplace NHP,"262,889","250,842","251,204","236,180","229,675","250,772","211,650","201,828","190,809","200,054","202,950","200,404","221,111","177,122","163,568","169,515","163,928","241,264","148,605","252,495"
Acadia NP,"2,760,306","2,594,497","2,602,227","2,469,238","2,516,551","2,558,572","2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393"
Adams NHP,"56,643","63,569","84,574","87,347","167,500","173,944","215,659","239,504","220,467","225,318","224,880","241,536","253,656","73,339","219,975","336,031","285,501","178,468","183,632","199,301"
African Burial Ground NM,,,,,,,,,,,,,,"117,113","108,585","77,624","93,234","54,861","56,348","46,526"
Agate Fossil Beds NM,"20,596","17,594","18,117","17,933","17,399","17,129","16,233","15,235","14,209","13,521","12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264","15,555"
Alibates Flint Quarries NM,"3,363","3,293","3,047","3,131","2,456","2,125","1,811","2,012","2,919","1,882","4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492","8,153"
Allegheny Portage Railroad NHS,"121,841","111,100","111,391","133,396","142,340","146,484","129,995","126,441","115,357","121,009","123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433","189,371"
Amistad NRA,"1,084,433","1,129,811","1,164,166","1,234,506","1,097,650","1,047,784","1,071,199","1,445,772","1,399,852","1,599,271","1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530"
Andersonville NHS,"196,340","225,653","182,539","167,373","160,974","190,004","150,661","165,929","132,466","132,153","153,686","159,592","136,267","121,535","108,812","122,883","98,771","127,189","136,686","134,216"
Andrew Johnson NHS,"67,309","60,207","51,779","59,897","49,551","48,878","51,910","50,196","48,552","50,701","43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357","45,937"
Aniakchak NM & PRES,,209,377,251,206,241,154,285,285,60,26,10,14,62,57,19,134,134,153,100
Antietam NB,"275,639","275,385","268,897","286,896","303,599","303,209","279,694","237,885","295,309","282,676","337,569","352,548","378,966","393,957","384,987","510,921","370,832","337,079","347,180","351,911"
Apostle Islands NL,"183,636","236,829","193,260","181,760","185,435","169,674","169,699","151,881","175,245","189,051","182,396","162,871","170,202","156,945","176,040","163,419","148,556","290,059","232,662","183,796"
Appomattox Court House NHP,"204,862","201,874","198,665","196,363","190,422","177,219","155,031","152,453","136,827","145,804","149,255","178,748","185,443","216,220","258,917","320,668","317,660","278,776","412,640","303,139"
Arches NP,"858,525","837,161","869,980","786,429","754,026","769,672","757,781","733,131","781,670","833,049","860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718"
Arkansas Post NMEM,"50,422","51,858","49,087","43,903","43,502","48,126","37,905","38,183","37,740","36,665","37,230","43,137","32,160","34,712","37,127","39,703","36,420","30,860","38,702","34,405"
