park_number,park_name,lat,lon
ABLI,Abraham Lincoln Birthplace National Historical Park,37.535671,-85.7340637
ACAD,Acadia National Park,44.3385559,-68.2733346
ADAM,Adams National Historical Park,42.256412,-71.011167
AFBG,African Burial Ground National Monument,40.7150514,-74.0053687
alka,Ala Kahakai National Historic Trail,19.689206,-156.021329
alag,Alagnak Wild River,58.756222,-156.51724
alca,Alcatraz Island,37.8266636,-122.4230122
aleu,Aleutian World War II National Historic Area,53.8845397,-166.5533823
ALPO,Allegheny Portage Railroad National Historic Site,40.4692629,-78.5437922
AMME,American Memorial Park,15.21226,145.724335
AMIS,Amistad National Recreation Area,29.4216948,-100.9068262
ande,Andersonville National Historic Site,32.197776,-84.129294
ANJO,Andrew Johnson National Historic Site,36.117189,-82.856625
ania,Aniakchak National Monument & Preserve,58.756222,-156.51724
ANTI,Antietam National Battlefield,39.4798039,-77.7394856
apis,Apostle Islands National Lakeshore,46.8122706,-90.8209629
appa,Appalachian National Scenic Trail,39.27954,-77.785195
ARCH,Arches National Park,38.733081,-109.5925139
arpo,Arkansas Post National Memorial,34.0166096,-91.3451369
ASIS,Assateague Island National Seashore,38.249822,-75.1559737
AZRU,Aztec Ruins National Monument,36.8346019,-107.9960917
BADL,Badlands National Park,43.716892,-101.892914
BAWA,Baltimore-Washington Parkway,38.995757,-76.895521
BAND,Bandelier National Monument,35.7772999,-106.2687907
beol,Bent's Old Fort National Historic Site,38.0451225,-103.4336602
bela,Bering Land Bridge National Preserve,66.0740832,-164.9347562
BIBE,Big Bend National Park,29.2166538,-103.2663479
bicy,Big Cypress National Preserve,25.898814,-81.318701
BISO,Big South Fork National River & Recreation Area,36.4701139,-84.6411206
BITH,Big Thicket National Preserve,30.404128,-94.415751
BICA,Bighorn Canyon National Recreation Area,45.312493,-107.935565
bisc,Biscayne National Park,25.4631936,-80.3463139
blca,Black Canyon of the Gunnison National Park,38.4657461,-107.16668
BLRI,Blue Ridge Parkway,35.564766,-82.489803
BOHA,Boston Harbor Islands National Recreation Area,42.3552589,-71.050518
BOST,Boston National Historical Park,42.3747172,-71.0540366
BRCR,Brices Cross Roads National Battlefield Site,34.307545,-88.720974
BRVB,Brown v. Board of Education National Historic Site,39.037925,-95.676498
BRCA,Bryce Canyon National Park,37.5965706,-112.1787896
buff,Buffalo National River,36.2331995,-93.1060044
cabr,Cabrillo National Monument,32.674287,-117.23963
cali,California National Historic Trail,40.7620689,-111.888922
cana,Canaveral National Seashore,28.613144,-80.8075783
CARI,Cane River Creole National Historical Park,31.7398039,-93.0835779
cach,Canyon de Chelly National Monument,36.154448,-109.552607
